"Timestamp","1.How would you describe your experience with the login process using behavioral
biometrics?","2.Did you experience any discomfort or concerns while the system was tracking your behavioral data?","3.How does the systemâ€™s response time during login and transactions compare with your previous experiences?","4.Were there any interruptions or issues that you faced during the session?","5.On a scale from 1 to 10, how would you rate the intrusiveness of the behavioral biometrics system?","6.How well do you think the system recognized your unique patterns compared to traditional methods?","7.Did the system provide real-time feedback?","8.How did the system handle any errors or anomalies in your behavior patterns?","9.During the session, were you required to take any additional steps for verification?","10.Describe any difficulties you encountered while performing typical banking tasks during the experiment."
"2025/05/12 7:14:39 PM GMT+9","Very easy","No","About the same","No","1-3 (Not intrusive)","Much better","Yes","Did not notice any errors","No","No difficulties"
"2025/05/12 9:56:52 PM GMT+9","Very easy","No","About the same","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Very well","No","No difficulties"
"2025/05/12 11:04:12 PM GMT+9","Neutral","No","Much faster","No","4-7 (Moderately intrusive)","About the same","Yes","Did not notice any errors","No","No difficulties"
"2025/05/13 5:58:39 AM GMT+9","Neutral","No","Somewhat faster","No","4-7 (Moderately intrusive)","About the same","No","Did not notice any errors","No","Some difficulties"
"2025/05/13 4:29:02 PM GMT+9","Somewhat easy","No","Much faster","No","1-3 (Not intrusive)","Much better","Yes","Adequately","No","No difficulties"
"2025/05/13 5:16:04 PM GMT+9","Very easy","No","Somewhat faster","No","8-10 (Highly intrusive)","Much better","Yes","Adequately","No","No difficulties"
"2025/05/13 7:43:31 PM GMT+9","Neutral","No","Much faster","No","8-10 (Highly intrusive)","Somewhat better","Yes","Very well","No","No difficulties"
"2025/05/13 8:16:11 PM GMT+9","Somewhat easy","No","Much faster","No","8-10 (Highly intrusive)","Somewhat better","Yes","Very well","No","No difficulties"
"2025/05/13 8:21:24 PM GMT+9","Neutral","Somehow","Much faster","No","4-7 (Moderately intrusive)","Much better","Yes","Very well","Yes","No difficulties"
"2025/05/13 8:41:10 PM GMT+9","Neutral","No","About the same","No","4-7 (Moderately intrusive)","About the same","Yes","Very well","No","No difficulties"
"2025/05/13 10:18:33 PM GMT+9","Very easy","No","Much faster","No","4-7 (Moderately intrusive)","Much better","No","Did not notice any errors","Yes","Some difficulties"
"2025/05/13 10:44:37 PM GMT+9","Somewhat difficult","Somehow","Much faster","No","8-10 (Highly intrusive)","Much better","Yes","Very well","No","No difficulties"
"2025/05/13 11:08:45 PM GMT+9","Very easy","No","Much faster","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Did not notice any errors","No","No difficulties"
"2025/05/13 11:25:51 PM GMT+9","Somewhat easy","No","Much faster","No","8-10 (Highly intrusive)","Somewhat better","Yes","Adequately","No","No difficulties"
"2025/05/14 1:08:01 AM GMT+9","Neutral","No","About the same","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Very well","No","No difficulties"
"2025/05/14 1:45:30 AM GMT+9","Very easy","No","Somewhat faster","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Adequately","No","No difficulties"
"2025/05/14 2:19:00 AM GMT+9","Very easy","Somehow","Somewhat faster","No","4-7 (Moderately intrusive)","Somewhat better","No","Adequately","No","Some difficulties"
"2025/05/14 2:22:07 AM GMT+9","Somewhat easy","No","Somewhat faster","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Adequately","No","No difficulties"
"2025/05/14 3:00:10 AM GMT+9","Very easy","No","Much faster","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Very well","No","No difficulties"
"2025/05/14 4:18:24 PM GMT+9","Very easy","No","Much faster","No","8-10 (Highly intrusive)","Somewhat better","Yes","Did not notice any errors","No","No difficulties"
"2025/05/14 5:38:35 PM GMT+9","Very easy","No","Much faster","No","4-7 (Moderately intrusive)","Much better","Yes","Very well","Yes","No difficulties"
"2025/05/14 6:09:04 PM GMT+9","Neutral","No","Somewhat faster","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Adequately","Yes","Some difficulties"
"2025/05/14 9:02:58 PM GMT+9","Very difficult","Somehow","Somewhat faster","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Very well","No","No difficulties"
"2025/05/14 9:04:25 PM GMT+9","Very easy","No","Much faster","No","8-10 (Highly intrusive)","Somewhat better","No","Adequately","No","No difficulties"
"2025/05/14 9:38:08 PM GMT+9","Somewhat easy","No","Much faster","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Very well","Yes","Some difficulties"
"2025/05/14 9:44:08 PM GMT+9","Somewhat easy","Somehow","Much faster","No","4-7 (Moderately intrusive)","Much better","Yes","Very well","Yes","No difficulties"
"2025/05/14 10:00:55 PM GMT+9","Somewhat easy","Somehow","Much faster","Yes","1-3 (Not intrusive)","Much better","Yes","Very well","Yes","No difficulties"
"2025/05/14 10:05:44 PM GMT+9","Very easy","No","Much faster","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Very well","Yes","No difficulties"
"2025/05/14 10:08:36 PM GMT+9","Somewhat easy","Somehow","Somewhat faster","Yes","1-3 (Not intrusive)","Somewhat better","No","Adequately","No","Some difficulties"
"2025/05/14 10:12:35 PM GMT+9","Somewhat difficult","Somehow","Much faster","Yes","1-3 (Not intrusive)","Much better","Yes","Very well","Yes","No difficulties"
"2025/05/14 11:47:13 PM GMT+9","Somewhat easy","Yes","Somewhat faster","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Very well","Yes","No difficulties"
"2025/05/15 12:22:13 AM GMT+9","Somewhat easy","No","Much faster","No","4-7 (Moderately intrusive)","Much better","Yes","Very well","No","No difficulties"
"2025/05/15 2:32:32 AM GMT+9","Very easy","No","About the same","No","1-3 (Not intrusive)","Much better","Yes","Adequately","No","No difficulties"
"2025/05/15 9:36:20 PM GMT+9","Somewhat difficult","Yes","Somewhat faster","Yes","4-7 (Moderately intrusive)","About the same","No","Adequately","Yes","Some difficulties"
"2025/05/15 10:38:43 PM GMT+9","Very easy","No","Much faster","No","8-10 (Highly intrusive)","Much better","Yes","Very well","No","No difficulties"
"2025/05/15 11:59:05 PM GMT+9","Very difficult","No","Much faster","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Adequately","No","No difficulties"
"2025/05/16 12:06:33 AM GMT+9","Very difficult","No","Much faster","Yes","4-7 (Moderately intrusive)","Much better","Yes","Very well","Yes","No difficulties"
"2025/05/16 7:11:07 PM GMT+9","Very difficult","Somehow","About the same","No","4-7 (Moderately intrusive)","Somewhat better","Yes","Adequately","No","Some difficulties"
"2025/05/17 3:02:28 AM GMT+9","Very difficult","Yes","Much faster","Yes","1-3 (Not intrusive)","Much better","Yes","Very well","Yes","No difficulties"
"2025/05/17 10:57:32 PM GMT+9","Very easy","No","Much faster","No","1-3 (Not intrusive)","Much better","Yes","Did not notice any errors","No","No difficulties"